user_id	trial_date	purchase_date	type
920669238	2019-11-16 8:04:22	NULL	yearly
998251445	2019-11-16 8:12:45	2019-11-30 8:12:45	yearly
-53686349	2019-11-16 8:43:06	2019-11-30 8:43:06	monthly
1581042427	2019-11-16 9:04:21	2020-01-15 23:28:29	yearly
419918497	2019-11-16 9:08:49	NULL	yearly
-1232935868	2019-11-16 9:10:27	NULL	yearly
834243581	2019-11-16 9:14:10	NULL	yearly
982759835	2019-11-16 9:24:07	NULL	yearly
823966124	2019-11-16 9:33:31	NULL	yearly
154180018	2019-11-16 9:49:01	NULL	yearly
-986760245	2019-11-16 9:53:33	NULL	yearly
-1469683786	2019-11-16 9:59:10	2019-11-30 9:59:10	monthly
1258119006	2019-11-16 10:04:02	NULL	yearly
-2042108530	2019-11-16 10:16:59	2019-11-30 10:16:59	yearly
-159740829	2019-11-16 10:35:37	2019-11-30 10:35:37	yearly
1704763634	2019-11-16 10:37:02	NULL	yearly
-595087225	2019-11-16 11:09:21	NULL	yearly
-553053757	2019-11-16 11:40:48	NULL	yearly
-1746319832	2019-11-16 11:44:31	NULL	yearly
-1277292514	2019-11-16 12:04:52	NULL	yearly
1805755427	2019-11-16 12:11:58	2019-11-30 12:11:58	yearly
1576388529	2019-11-16 12:16:43	2019-11-30 15:39:38	yearly
-1047551744	2019-11-16 12:46:48	2019-12-05 18:40:02	monthly
790285942	2019-11-16 12:47:39	NULL	yearly
-770862469	2019-11-16 12:53:53	2019-12-03 18:13:04	yearly
835516722	2019-11-16 13:09:14	2019-11-30 9:23:32	yearly
1499220849	2019-11-16 13:10:12	NULL	yearly
437442030	2019-11-16 13:44:30	2019-11-30 13:44:30	yearly
1195510212	2019-11-16 13:49:02	NULL	yearly
1928963237	2019-11-16 13:54:23	2019-11-30 13:54:23	yearly
-176455491	2019-11-16 13:56:24	NULL	yearly
1666183617	2019-11-16 14:04:23	2019-12-12 11:53:12	yearly
1626759686	2019-11-16 14:32:33	NULL	yearly
1567819041	2019-11-16 14:45:40	NULL	yearly
-516188693	2019-11-16 14:52:11	NULL	monthly
1150342685	2019-11-16 14:54:25	NULL	yearly
1434105035	2019-11-16 15:15:21	NULL	yearly
-2063469406	2019-11-16 15:25:35	2019-11-30 15:25:35	yearly
-997298809	2019-11-16 15:41:03	2019-11-30 15:41:03	yearly
951309915	2019-11-16 15:48:24	2019-11-30 15:48:24	yearly
-1429117793	2019-11-16 15:53:34	NULL	yearly
-1823703758	2019-11-16 15:56:02	2019-11-30 15:56:02	yearly
459045948	2019-11-16 15:59:47	2019-11-30 15:59:47	monthly
1900419931	2019-11-16 16:03:10	NULL	yearly
-1530808319	2019-11-16 16:10:38	NULL	yearly
585136016	2019-11-16 16:18:03	2019-11-30 16:18:03	yearly
-1544912011	2019-11-16 16:34:06	NULL	yearly
1088332971	2019-11-16 16:38:06	2019-11-30 16:38:06	yearly
1682478368	2019-11-16 16:58:25	NULL	yearly
-1551635269	2019-11-16 17:11:04	NULL	yearly
-892063634	2019-11-16 17:15:57	NULL	yearly
748432984	2019-11-16 17:19:03	NULL	yearly
-345431516	2019-11-16 17:29:16	NULL	yearly
-2071687820	2019-11-16 17:47:33	2019-11-30 17:47:33	monthly
223418013	2019-11-16 17:59:55	NULL	yearly
-1361907709	2019-11-16 18:19:25	NULL	monthly
-827014421	2019-11-16 18:26:08	NULL	yearly
1907125556	2019-11-16 18:30:59	NULL	yearly
624468915	2019-11-16 18:33:08	2019-11-30 18:33:08	yearly
-1588952855	2019-11-16 18:40:14	NULL	yearly
185329976	2019-11-16 18:47:35	NULL	yearly
2032028318	2019-11-16 18:51:41	2019-11-30 18:51:41	yearly
-1980159294	2019-11-16 18:54:35	2019-11-30 18:54:35	monthly
109864331	2019-11-16 19:31:57	2020-01-03 4:05:36	yearly
-1975777184	2019-11-16 19:41:53	NULL	yearly
900919187	2019-11-16 19:42:35	NULL	yearly
-1298396899	2019-11-16 20:09:08	2019-11-30 20:09:08	monthly
76569358	2019-11-16 20:11:59	2019-11-30 20:11:59	monthly
1115958	2019-11-16 20:45:35	2019-11-30 20:45:35	yearly
1709789041	2019-11-16 21:37:03	NULL	yearly
-458682923	2019-11-16 22:49:53	NULL	yearly
-197346973	2019-11-16 22:54:45	NULL	yearly
2042200456	2019-11-16 23:02:44	NULL	monthly
826545913	2019-11-16 23:18:11	2019-11-30 23:18:11	yearly
-768084812	2019-11-16 23:25:12	2019-11-30 23:25:12	monthly
-245702070	2019-11-16 23:42:01	NULL	yearly
651889152	2019-11-16 23:46:31	2020-01-07 20:14:39	monthly
812294454	2019-11-17 0:06:49	2019-12-01 0:06:49	yearly
710423108	2019-11-17 0:41:32	2019-12-01 0:41:32	yearly
444084702	2019-11-17 0:54:33	2020-01-04 13:48:34	monthly
1056100509	2019-11-17 1:38:57	NULL	yearly
818023697	2019-11-17 1:40:46	NULL	yearly
-1331733622	2019-11-17 1:41:27	NULL	yearly
-269328689	2019-11-17 1:47:43	NULL	yearly
-868850068	2019-11-17 2:01:06	NULL	yearly
-1967647761	2019-11-17 2:17:30	NULL	yearly
-1520890905	2019-11-17 2:27:55	NULL	yearly
-1875351831	2019-11-17 2:34:32	2019-12-01 2:34:32	yearly
60398760	2019-11-17 2:45:55	2019-12-01 2:45:55	monthly
-1695033281	2019-11-17 2:57:12	2019-12-01 2:57:12	yearly
773281835	2019-11-17 2:58:31	NULL	yearly
1196862298	2019-11-17 3:10:17	NULL	yearly
905270359	2019-11-17 3:14:38	NULL	yearly
1639762080	2019-11-17 3:24:59	NULL	yearly
1547473596	2019-11-17 3:39:10	2019-12-01 3:39:10	yearly
-832002064	2019-11-17 3:40:59	2019-12-01 3:40:59	monthly
34295891	2019-11-17 3:41:49	NULL	yearly
351332564	2019-11-17 3:55:25	2019-12-01 3:55:25	yearly
811546871	2019-11-17 4:04:28	2019-12-01 4:04:28	yearly
1037231887	2019-11-17 4:05:07	NULL	monthly
-1798057148	2019-11-17 4:28:54	NULL	yearly
-1445708562	2019-11-17 4:30:06	NULL	yearly
-1101237920	2019-11-17 5:04:37	2019-12-18 15:01:25	yearly
-1127703062	2019-11-17 5:04:50	NULL	yearly
25630875	2019-11-17 5:23:26	NULL	yearly
-2096891835	2019-11-17 5:31:58	2019-12-01 5:31:58	yearly
2055336117	2019-11-17 5:32:52	2019-12-01 17:01:51	yearly
864250162	2019-11-17 6:00:13	2019-12-01 6:00:13	monthly
-500536176	2019-11-17 6:14:20	2019-12-12 7:14:16	yearly
2112781993	2019-11-17 6:14:49	NULL	yearly
17086464	2019-11-17 6:25:54	2019-12-16 7:34:22	yearly
-1941184524	2019-11-17 6:56:56	NULL	yearly
777714898	2019-11-17 7:07:21	NULL	yearly
-713627977	2019-11-17 7:16:54	NULL	yearly
-1200994988	2019-11-17 7:46:36	NULL	yearly
116813369	2019-11-17 8:05:33	NULL	yearly
1805842378	2019-11-17 8:06:10	2019-12-01 8:06:10	yearly
-591671521	2019-11-17 8:28:56	NULL	yearly
-459837104	2019-11-17 8:37:21	NULL	yearly
1317748147	2019-11-17 8:38:08	2019-12-01 8:38:08	yearly
-2069393343	2019-11-17 9:09:27	NULL	yearly
678476038	2019-11-17 9:12:54	2019-12-01 9:12:54	yearly
-42811747	2019-11-17 9:23:20	NULL	yearly
-1814581997	2019-11-17 9:25:48	NULL	yearly
661823875	2019-11-17 10:11:31	NULL	yearly
1324894880	2019-11-17 10:25:10	NULL	yearly
-355188251	2019-11-17 10:39:53	NULL	yearly
-1549670768	2019-11-17 10:43:22	2019-12-01 16:09:53	yearly
486775509	2019-11-17 10:52:54	2019-12-01 10:52:54	yearly
57071847	2019-11-17 10:54:44	NULL	yearly
577359294	2019-11-17 11:00:17	NULL	yearly
